3m_buy,3m_overweight,3m_hold,3m_underweight,3m_sell,1m_buy,1m_overweight,1m_hold,1m_underweight,1m_sell,curr_buy,curr_overweight,curr_hold,curr_underweight,curr_sell
12,4,12,1,1,13,4,12,2,0,13,4,11,3,0
26,2,7,1,0,27,2,9,0,0,26,2,10,0,0
26,3,9,0,0,31,2,5,1,0,29,2,5,1,1
13,3,7,1,0,16,2,3,1,0,16,1,4,1,0
14,2,11,0,1,13,2,12,0,2,13,2,12,0,2
13,3,8,1,0,16,2,4,1,0,16,1,4,1,0
N/A,N/A,N/A,N/A,N/A,17,3,7,0,1,19,3,6,0,1
10,0,6,0,0,N/A,N/A,N/A,N/A,N/A,9,2,6,0,0
12,1,11,0,1,9,1,12,0,2,10,0,12,0,3
25,1,10,0,3,26,1,11,0,2,25,1,11,0,1
6,1,5,1,0,4,2,8,1,0,6,2,6,1,0
12,4,11,1,1,13,4,11,2,0,13,4,10,3,0
12,1,10,0,1,9,1,11,0,2,10,0,11,0,3
16,2,8,1,1,18,0,7,1,1,17,1,7,1,1
8,2,7,0,3,6,2,8,0,3,7,2,8,0,3
11,0,7,1,1,N/A,N/A,N/A,N/A,N/A,12,0,5,2,1
26,4,4,0,1,28,5,3,0,1,28,4,4,0,1
N/A,N/A,N/A,N/A,N/A,21,1,2,0,0,21,1,2,0,0
1,0,1,0,0,0,0,1,0,0,1,0,1,0,0
8,0,2,1,0,8,0,3,0,0,8,0,3,0,0
17,2,6,0,0,N/A,N/A,N/A,N/A,N/A,17,2,4,0,0
N/A,N/A,N/A,N/A,N/A,6,2,19,1,1,7,2,18,1,1
33,5,8,1,1,32,8,8,1,1,33,8,8,1,1
17,5,2,0,0,21,5,1,0,0,23,4,2,0,0
13,2,2,0,0,16,1,2,0,0,17,1,2,0,0
N/A,N/A,N/A,N/A,N/A,18,1,4,0,0,18,2,3,0,0
2,2,4,1,5,2,2,5,0,6,2,1,5,0,3
19,2,5,0,3,21,2,1,0,3,21,2,1,0,2
8,2,13,0,3,9,1,16,0,0,11,1,13,1,0
11,1,16,0,2,13,1,15,0,2,13,1,16,0,2
1,2,0,0,1,N/A,N/A,N/A,N/A,N/A,1,1,1,0,1
9,2,13,1,0,9,2,11,0,0,10,2,11,0,0
21,3,3,1,0,19,3,4,1,0,18,3,4,1,0
29,2,4,0,0,30,3,3,1,1,28,4,3,1,1
12,3,8,0,0,12,2,10,0,0,11,1,12,0,0
